"PLZ";"Abholdatum"
8001;"Do, 22. Januar 2015"
8001;"Do, 19. Februar 2015"
8001;"Do, 19. März 2015"
8001;"Do, 16. April 2015"
8001;"Fr, 15. Mai 2015"
8001;"Do, 11. Juni 2015"
8001;"Do, 9. Juli 2015"
8001;"Do, 6. August 2015"
8001;"Do, 3. September 2015"
8001;"Do, 1. Oktober 2015"
8001;"Do, 29. Oktober 2015"
8001;"Do, 26. November 2015"
8001;"Do, 24. Dezember 2015"
8002;"Mo, 12. Januar 2015"
8002;"Mo, 9. Februar 2015"
8002;"Mo, 9. März 2015"
8002;"Di, 7. April 2015"
8002;"Mo, 4. Mai 2015"
8002;"Mo, 1. Juni 2015"
8002;"Mo, 29. Juni 2015"
8002;"Mo, 27. Juli 2015"
8002;"Mo, 24. August 2015"
8002;"Mo, 21. September 2015"
8002;"Mo, 19. Oktober 2015"
8002;"Mo, 16. November 2015"
8002;"Mo, 14. Dezember 2015"
8003;"Fr, 16. Januar 2015"
8003;"Fr, 13. Februar 2015"
8003;"Fr, 13. März 2015"
8003;"Fr, 10. April 2015"
8003;"Fr, 8. Mai 2015"
8003;"Fr, 5. Juni 2015"
8003;"Fr, 3. Juli 2015"
8003;"Fr, 31. Juli 2015"
8003;"Fr, 28. August 2015"
8003;"Fr, 25. September 2015"
8003;"Fr, 23. Oktober 2015"
8003;"Fr, 20. November 2015"
8003;"Fr, 18. Dezember 2015"
8004;"Mi, 14. Januar 2015"
8004;"Mi, 11. Februar 2015"
8004;"Mi, 11. März 2015"
8004;"Mi, 8. April 2015"
8004;"Mi, 6. Mai 2015"
8004;"Mi, 3. Juni 2015"
8004;"Mi, 1. Juli 2015"
8004;"Mi, 29. Juli 2015"
8004;"Mi, 26. August 2015"
8004;"Mi, 23. September 2015"
8004;"Mi, 21. Oktober 2015"
8004;"Mi, 18. November 2015"
8004;"Mi, 16. Dezember 2015"
8005;"Do, 15. Januar 2015"
8005;"Do, 12. Februar 2015"
8005;"Do, 12. März 2015"
8005;"Do, 9. April 2015"
8005;"Do, 7. Mai 2015"
8005;"Do, 4. Juni 2015"
8005;"Do, 2. Juli 2015"
8005;"Do, 30. Juli 2015"
8005;"Do, 27. August 2015"
8005;"Do, 24. September 2015"
8005;"Do, 22. Oktober 2015"
8005;"Do, 19. November 2015"
8005;"Do, 17. Dezember 2015"
8006;"Mi, 7. Januar 2015"
8006;"Mi, 4. Februar 2015"
8006;"Mi, 4. März 2015"
8006;"Mi, 1. April 2015"
8006;"Mi, 29. April 2015"
8006;"Mi, 27. Mai 2015"
8006;"Mi, 24. Juni 2015"
8006;"Mi, 22. Juli 2015"
8006;"Mi, 19. August 2015"
8006;"Mi, 16. September 2015"
8006;"Mi, 14. Oktober 2015"
8006;"Mi, 11. November 2015"
8006;"Mi, 9. Dezember 2015"
8008;"Do, 8. Januar 2015"
8008;"Do, 5. Februar 2015"
8008;"Do, 5. März 2015"
8008;"Do, 2. April 2015"
8008;"Do, 30. April 2015"
8008;"Do, 28. Mai 2015"
8008;"Do, 25. Juni 2015"
8008;"Do, 23. Juli 2015"
8008;"Do, 20. August 2015"
8008;"Do, 17. September 2015"
8008;"Do, 15. Oktober 2015"
8008;"Do, 12. November 2015"
8008;"Do, 10. Dezember 2015"
8032;"Di, 6. Januar 2015"
